,stimOn_times,feedback_times,goCue_times,probabilityLeft,contrastLeft,contrastRight,feedbackType,choice,firstMovement_times,signed_contrast,laser_stimulation,laser_probability,probe_trial,correct,right_choice,stim_side,time_to_choice,reaction_times,abs_contrast,rt_log,pupil,whisking,sniffing,p_engaged,p_exploratory,p_disengaged,state,state_switch
0,2.2089,12.141300000000003,10.935699999999999,0.2,,0.25,1.0,-1.0,11.998929194032721,0.25,1.0,1.0,0,1.0,1.0,1,1.205600000000004,1.205600000000004,0.25,0.08120323930657683,11.716305132281501,8.142187241713206,1.5987286770702054,0.9999999999986358,3.303001958983021e-14,1.0379884017318403e-119,1,0
1,17.2286,18.720599999999997,17.229599999999998,0.2,,0.25,-1.0,1.0,18.25692919403273,0.25,1.0,1.0,0,0.0,0.0,1,1.4909999999999997,1.4909999999999997,0.25,0.17347764345299446,12.905818686412243,7.548586601018906,0.9058400310885732,0.6850905587701157,0.3149094412282523,8.034417946677692e-152,1,0
2,22.545,23.2855,22.5372,0.2,,0.0,-1.0,1.0,22.67692919403273,0.0,1.0,0.75,0,0.0,0.0,1,0.7483000000000004,0.7483000000000004,0.0,-0.12592425477696492,12.644403292580604,8.611707196633022,1.9995019116539283,0.9999999999984084,3.623623495807071e-22,4.6606906024182574e-114,1,0
3,27.044600000000003,27.483199999999997,27.0208,0.2,,1.0,1.0,-1.0,27.188929194032735,1.0,1.0,1.0,0,1.0,1.0,1,0.46239999999999526,0.46239999999999526,1.0,-0.3349821745875318,12.618067548971775,7.379386061429978,0.9362482418094161,0.9869649934132027,0.013035006585099897,2.683824025274531e-142,1,0
4,30.176899999999996,30.725099999999998,30.1757,0.2,0.0625,,-1.0,-1.0,30.414929194032737,-0.0625,1.0,1.0,0,0.0,1.0,-1,0.5493999999999986,0.5493999999999986,0.0625,-0.260111344915458,14.146750303697655,7.2726648420095446,1.1802485885324667,0.9999856773911473,1.4322607280878593e-05,4.55476600209376e-112,1,0
5,34.3941,34.9327,34.395,0.2,1.0,,-1.0,-1.0,34.56492919403274,-1.0,1.0,1.0,0,0.0,1.0,-1,0.5376999999999938,0.5376999999999938,1.0,-0.26945996352288576,12.954955598859048,7.455177043378353,1.0801474971173117,0.9974466219636435,0.002553378034300504,1.297974746063029e-130,1,0
6,39.6596,41.8775,39.660599999999995,0.2,,0.0625,-1.0,1.0,40.91692919403275,0.0625,1.0,1.0,0,0.0,0.0,1,2.2169000000000025,2.2169000000000025,0.0625,0.3457461033861693,14.026788640453828,0.7551179493467013,0.3826913128315226,2.2196278297123324e-13,0.030183045478733832,0.9698169545189108,0,1
7,45.6765,47.070499999999996,45.660799999999995,0.2,0.125,,-1.0,-1.0,46.85492919403275,-0.125,1.0,1.0,0,0.0,1.0,-1,1.4097000000000008,1.4097000000000008,0.125,0.14912669974261455,11.518901872437292,3.584163271387418,0.5970616925934745,0.00027835523250160086,0.9997216447656104,1.5490273884925205e-24,2,1
8,50.7423,52.547399999999996,50.736,0.2,0.25,,1.0,1.0,52.321929194032755,-0.25,1.0,1.0,0,1.0,0.0,-1,1.811399999999999,1.811399999999999,0.25,0.2580143634067411,11.06422433139432,2.2623032040894033,0.7636395143164688,8.748916743165746e-07,0.9997062829368726,0.0002928421694808578,2,0
9,56.4927,58.2662,56.4743,0.2,,0.0625,-1.0,1.0,57.77892919403276,0.0625,1.0,1.0,0,0.0,0.0,1,1.7918999999999983,1.7918999999999983,0.0625,0.253313769466734,14.574963425721496,1.8454127135376135,0.49535273597358426,3.437472001903332e-08,0.9861771452776026,0.013822820345630671,2,0
10,62.0424,62.64519999999999,62.0282,0.2,,0.25,1.0,-1.0,62.32592919403277,0.25,1.0,1.0,0,1.0,1.0,1,0.6169999999999902,0.6169999999999902,0.25,-0.2097148359667652,14.753570268535459,6.388568264245987,0.8489143149062972,0.8897417761946754,0.11025822380326684,1.0689485909964965e-102,1,1
11,65.3255,66.6485,65.3195,0.2,,0.125,1.0,-1.0,66.40292919403277,0.125,1.0,1.0,0,1.0,1.0,1,1.3289999999999935,1.3289999999999935,0.125,0.12352498094272989,15.343975910272517,7.24796288361152,1.0905733651488796,0.9763223716004577,0.023677628397523805,7.029139795811659e-118,1,0
12,69.8752,71.6477,69.876,0.2,,0.0625,-1.0,1.0,71.30992919403278,0.0625,1.0,1.0,0,0.0,0.0,1,1.7716999999999956,1.7716999999999956,0.0625,0.24839018517251,13.791323953616175,0.9437100738286972,0.27476113903044647,1.0911803284529713e-11,0.03080397619505124,0.9691960237921193,0,1
13,75.5905,76.16380000000001,75.5916,0.2,,0.125,1.0,-1.0,75.71992919403277,0.125,1.0,1.0,0,1.0,1.0,1,0.5722000000000094,0.5722000000000094,0.125,-0.24245214653074906,12.68459199111872,6.941991071899732,0.7413627847467145,0.7996696500487172,0.20033034994931048,1.5868847719468606e-139,1,1
