,dg_spike_freq,time,subject,date,probe,pid
0,0.24323073527526679,-0.875,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
1,0.3135371592067873,-0.625,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
2,0.23999999999986543,-0.375,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
3,0.1664620186476411,-0.125,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
4,0.22707596270480757,0.125,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
5,0.019386604039851357,0.375,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
6,0.22061339596023838,0.625,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
7,0.012924585392255135,0.875,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
8,0.08000027404841918,1.125,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
9,0.15030587583463734,1.375,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
10,0.006462566744658912,1.625,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
11,0.00323210551790105,1.875,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
12,0.07999972595162572,2.125,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
13,0.15353770730380512,2.375,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
14,0.08969302797132701,2.625,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
15,0.22707541460769998,2.875,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
16,0.08969302797137191,3.125,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
17,0.1535379813524038,3.375,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
18,0.08323128337246408,3.625,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
19,0.08323183146925751,3.875,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
0,0.003231009323820548,-0.875,ZFM-04811,2022-11-08,probe00,05db6d4d-cfda-4686-b485-481423912b33
1,0.07353770730385001,-0.625,ZFM-04811,2022-11-08,probe00,05db6d4d-cfda-4686-b485-481423912b33
2,0.006462018647551352,-0.375,ZFM-04811,2022-11-08,probe00,05db6d4d-cfda-4686-b485-481423912b33
3,0.07353770730385001,-0.125,ZFM-04811,2022-11-08,probe00,05db6d4d-cfda-4686-b485-481423912b33
