,subject,subject_nr,sert-cre,rel_fluo
1,ZFM-04080,10,1,100.64759848893686
2,ZFM-02600,1,1,131.58954988983317
3,ZFM-05182,19,1,52.77072793586231
4,ZFM-05181,18,1,84.71816463309847
5,ZFM-05169,17,1,127.60678235791357
6,ZFM-04820,16,1,172.90372670807454
7,ZFM-05170,15,1,257.48746867167915
8,ZFM-04811,14,1,48.02421924792861
9,ZFM-04122,12,1,39.525446385944804
10,ZFM-04083,11,1,95.15824541921154
11,ZFM-05492,20,1,83.87535410764872
12,ZFM-03330,7,1,332.8586387434555
13,ZFM-03329,6,1,111.82175202372363
14,ZFM-03321,3,1,40.95810866860222
15,ZFM-02601,2,1,41.581460528364545
16,ZFM-03332,9,0,-6.920441568328897
17,ZFM-03331,8,0,4.717217217217211
18,ZFM-04300,13,0,14.893803756362999
19,ZFM-03324,5,0,4.132963737162584
20,ZFM-03323,4,0,3.559870550161804
21,ZFM-02181,0,0,12.220868859114915
