,log_likelihood,n_states,region,subject,pid
0,-15237.39893001798,2,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
1,-15173.254771594733,3,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
2,-15056.238761521896,4,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
3,-15000.464625196522,5,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
4,-14992.983020543246,6,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
5,-14896.11690756525,7,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
6,-14840.63372185308,8,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
7,-14903.153506818197,9,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
8,-14836.325829403584,10,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
9,-14828.87131294845,11,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
10,-14811.113741881021,12,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
11,-14824.97804398189,13,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
12,-14818.136436560088,14,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
13,-14839.141784526644,15,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
14,-14800.512206653799,16,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
15,-14813.25788905504,17,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
16,-14795.193378918062,18,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
17,-14793.291802521695,19,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
18,-14775.025476381634,20,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
0,-17959.43967166785,2,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
1,-17610.210583458625,3,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
2,-17495.15441220121,4,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
