,log_likelihood,n_states,subject,pid
0,-3653.451623687968,2,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
1,-3534.250506963298,3,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
2,-3450.7229158287605,4,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
3,-3416.761225478668,5,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
4,-3344.680945533767,6,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
5,-3319.408001653538,7,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
6,-3307.8013421484015,8,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
7,-3291.738972522191,9,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
8,-3301.547149458605,10,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
9,-3293.545436466171,11,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
10,-3282.350098395159,12,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
11,-3284.216033995625,13,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
12,-3278.408024296277,14,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
13,-3274.4769591684935,15,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
14,-3264.8617266746087,16,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
15,-3268.0876380747086,17,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
16,-3261.0220665319616,18,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
17,-3257.60430726743,19,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
18,-3281.3114360024656,20,ZFM-02601,dd5af9d9-16b1-477a-885d-713dc5066b8c
0,-8710.086132426308,2,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
1,-8692.97618655201,3,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
2,-8605.096222706637,4,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
3,-8573.786931561597,5,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
4,-8552.230045395647,6,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
5,-8496.955158345338,7,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
6,-8494.293963983378,8,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
7,-8495.66965846423,9,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
8,-8479.541005130039,10,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
9,-8483.32978560957,11,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
10,-8493.517753882506,12,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
11,-8496.189301751272,13,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
12,-8492.875636976907,14,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
13,-8483.768708007266,15,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
14,-8476.357927985537,16,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
15,-8475.595964735376,17,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
16,-8488.231904684248,18,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
17,-8472.683148272941,19,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
18,-8503.207166675904,20,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc
0,-28508.754385099226,2,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
1,-28293.47897828791,3,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
2,-28057.76355573042,4,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
3,-27940.320337102403,5,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
4,-27818.310371696225,6,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
5,-27697.549464978554,7,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
6,-27633.62793197799,8,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
7,-27569.796993779888,9,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
8,-27616.645046426092,10,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
9,-27575.323319820367,11,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
10,-27449.774085853955,12,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
11,-27567.329620429853,13,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
12,-27481.121682829285,14,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
13,-27381.143901212956,15,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
14,-27436.07006385419,16,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
15,-27421.007020975307,17,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
16,-27406.97980710376,18,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
17,-27420.384740121564,19,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
18,-27470.73860452981,20,ZFM-03332,0e236047-e8ca-49b8-a18e-d0f6ff3ee592
0,-19197.875052334635,2,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
1,-19039.155010013455,3,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
2,-18955.420441275714,4,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
3,-18913.396337929633,5,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
4,-18923.434176555358,6,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
5,-18905.47788976071,7,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
6,-18947.160456064594,8,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
7,-18968.26142128647,9,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
8,-18948.758041337525,10,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
