,log_likelihood,n_states,subject,pid
0,-26742.77477625518,2,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
1,-24785.179312790788,3,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
2,-24604.3898426386,4,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
3,-24480.856849649826,5,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
4,-24329.913665160522,6,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
5,-24210.95431120259,7,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
6,-24166.826589592845,8,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
7,-23861.831017089855,9,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
8,-23901.814697949685,10,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
9,-23791.304157899554,11,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
10,-23658.615031992013,12,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
11,-23722.0714987084,13,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
12,-23541.343582971986,14,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
13,-23680.187862019564,15,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
14,-23693.678411298843,16,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
15,-23521.29930002971,17,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
16,-23647.252121922702,18,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
17,-23532.809276627293,19,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
18,-23472.701344860998,20,ZFM-05170,227781ff-b3d4-4380-bfed-00942195ca62
0,-6585.796940969415,2,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
1,-6085.741730022957,3,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
2,-5941.06248608394,4,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
3,-5705.5778670243735,5,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
4,-5697.118085093617,6,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
5,-5630.659908882445,7,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
6,-5569.203531120306,8,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
7,-5626.899357405598,9,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
8,-5615.675216380243,10,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
9,-5595.889097946575,11,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
10,-5604.369089065356,12,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
11,-5608.046152895393,13,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
12,-5600.895504922126,14,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
13,-5598.90046509253,15,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
14,-5601.350745059122,16,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
15,-5598.519033800111,17,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
16,-5601.958149209169,18,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
17,-5592.8119710342735,19,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
18,-5541.501802417042,20,ZFM-05170,99d3a9fd-4fdd-4dba-a380-1dfecdb0675a
0,-69621.79358070268,2,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
1,-66886.48880896159,3,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
2,-66325.16646776961,4,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
3,-65115.231671698944,5,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
4,-64719.92441557351,6,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
5,-64261.75168180837,7,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
6,-63903.34371417086,8,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
7,-63626.758408688576,9,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
8,-62928.41053814123,10,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
9,-62637.87468938129,11,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
10,-62249.095439827004,12,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
11,-62939.20435108675,13,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
12,-62264.4045575828,14,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
13,-62193.36446104679,15,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
14,-61628.419558935115,16,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
15,-61363.377186881764,17,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
16,-61736.81564124872,18,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
17,-61743.7315206691,19,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
18,-61383.38888347446,20,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
0,-12713.247747339667,2,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
1,-12515.428160103213,3,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
