,log_likelihood,n_states,region,subject,pid
0,-34800.6984643496,2,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
1,-33523.764791324844,3,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
2,-33110.685145969255,4,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
3,-32595.063184952687,5,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
4,-32198.02277399699,6,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
5,-31992.376550944326,7,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
6,-31893.329458010085,8,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
7,-31738.980867320013,9,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
8,-31763.35678441516,10,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
9,-31536.494631110534,11,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
10,-31525.32802864999,12,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
11,-31552.12113822718,13,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
12,-31288.769425523904,14,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
13,-31254.057575966694,15,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
14,-31260.19185414708,16,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
15,-31154.100889835456,17,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
16,-31189.08429834686,18,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
17,-31047.949608940286,19,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
18,-31039.069111035973,20,Frontal,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
0,-16540.69063785007,2,Sensory,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
1,-16150.81992735662,3,Sensory,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
2,-15949.661370880176,4,Sensory,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26
