acronym,structure_id,name,expression_energy,expression_density,sum_expressing_pixel_intensity,sum_expressing_pixels,sum_pixels,receptor
ARH,223,Arcuate hypothalamic nucleus,0.51267,0.00460459,232265.0,2086.11,453050.0,5-HT1a
AIp2/3,163,"Agranular insular area, posterior part, layer 2/3",1.49038,0.0137386,573287.0,5284.67,384659.0,5-HT1a
PBle,875,"Parabrachial nucleus, lateral division, external lateral part",0.901802,0.00706466,189211.0,1482.26,209814.0,5-HT1a
RSPagl2/3,965,"Retrosplenial area, lateral agranular part, layer 2/3",1.55584,0.012543,461487.0,3720.46,296616.0,5-HT1a
SO,390,Supraoptic nucleus,1.97553,0.0166303,229725.0,1933.85,116285.0,5-HT1a
PTLp2/3,241,"Posterior parietal association areas, layer 2/3",1.08791,0.00899956,1188330.0,9830.28,1092310.0,5-HT1a
RT,262,Reticular nucleus of the thalamus,0.329321,0.00300727,1237330.0,11298.9,3757210.0,5-HT1a
VCO,101,Ventral cochlear nucleus,0.295529,0.00259227,713070.0,6254.78,2412860.0,5-HT1a
MOBopl,244,"Main olfactory bulb, outer plexiform layer",0.749044,0.00599509,6722650.0,53805.7,8974970.0,5-HT1a
VISal1,1074,"Anterolateral visual area, layer 1",0.617732,0.00547492,237616.0,2105.98,384659.0,5-HT1a
ORBl2/3,412,"Orbital area, lateral part, layer 2/3",2.63921,0.0214097,4489360.0,36418.5,1701030.0,5-HT1a
NLOT,619,Nucleus of the lateral olfactory tract,2.29185,0.0182061,2243970.0,17825.8,979109.0,5-HT1a
SSp-m2/3,657,"Primary somatosensory area, mouth, layer 2/3",1.47439,0.0116544,2938810.0,23229.9,1993230.0,5-HT1a
SSs,378,Supplemental somatosensory area,1.80996,0.015425,9493880.0,80909.3,5245350.0,5-HT1a
VIS,669,Visual areas,1.44247,0.0117315,41529900.0,337758.0,28790800.0,5-HT1a
ENTm6,743,"Entorhinal area, medial part, dorsal zone, layer 6",5.93929,0.0427957,4569200.0,32923.5,769318.0,5-HT1a
MD,362,Mediodorsal nucleus of thalamus,0.414611,0.00358818,841368.0,7281.47,2029290.0,5-HT1a
NTSm,691,"Nucleus of the solitary tract, medial part",0.981259,0.00775479,544546.0,4303.49,554946.0,5-HT1a
RSPv5,687,"Retrosplenial area, ventral part, layer 5",1.43611,0.0108172,4707770.0,35460.3,3278140.0,5-HT1a
SPFp,422,"Subparafascicular nucleus, parvicellular part",0.543505,0.00486884,402104.0,3602.14,739835.0,5-HT1a
MOBipl,228,"Main olfactory bulb, inner plexiform layer",0.848299,0.00661969,1170370.0,9132.94,1379660.0,5-HT1a
CA3so,486,"Field CA3, stratum oriens",2.1439,0.0148841,10053700.0,69798.0,4689450.0,5-HT1a
CA3slu,479,"Field CA3, stratum lucidum",2.273,0.0151198,1811360.0,12049.0,796902.0,5-HT1a
AV,255,Anteroventral nucleus of thalamus,0.278831,0.0023817,195795.0,1672.42,702197.0,5-HT1a
SSp-m1,878,"Primary somatosensory area, mouth, layer 1",0.686649,0.00573672,792377.0,6620.05,1153980.0,5-HT1a
MOBmi,236,"Main olfactory bulb, mitral layer",0.778042,0.0061126,1524020.0,11973.3,1958790.0,5-HT1a
IGL,27,Intergeniculate leaflet of the lateral geniculate complex,0.759627,0.00603766,159380.0,1266.79,209814.0,5-HT1a
FRP,184,"Frontal pole, cerebral cortex",0.796891,0.00663522,1139000.0,9483.74,1429300.0,5-HT1a
LA,131,Lateral amygdalar nucleus,1.03366,0.00912499,1626580.0,14359.1,1573600.0,5-HT1a
RSPd2/3,434,"Retrosplenial area, dorsal part, layer 2/3",1.17332,0.00905781,1678370.0,12956.7,1430450.0,5-HT1a
SSs4,1035,"Supplemental somatosensory area, layer 4",1.55744,0.0128984,381236.0,3157.3,244783.0,5-HT1a
SSp-bfd4,1047,"Primary somatosensory area, barrel field, layer 4",1.61302,0.0126722,4568860.0,35893.9,2832490.0,5-HT1a
MH,483,Medial habenula,0.294427,0.00242436,185085.0,1524.03,628629.0,5-HT1a
SCiw,17,"Superior colliculus, motor related, intermediate white layer",1.2285,0.0101322,1762640.0,14537.6,1434790.0,5-HT1a
OP,706,Olivary pretectal nucleus,1.08637,0.00832401,167590.0,1284.12,154267.0,5-HT1a
VISC,677,Visceral area,1.39581,0.0123485,1610740.0,14249.9,1153980.0,5-HT1a
ORB,714,Orbital area,2.60501,0.0205094,20716300.0,163101.0,7952500.0,5-HT1a
VISp2/3,821,"Primary visual area, layer 2/3",1.11766,0.00913596,4767990.0,38974.5,4266050.0,5-HT1a
DMHp,676,"Dorsomedial nucleus of the hypothalamus, posterior part",1.14464,0.00957629,315664.0,2640.91,275776.0,5-HT1a
MOp1,320,"Primary motor area, Layer 1",1.0157,0.0083944,4001450.0,33070.4,3939580.0,5-HT1a
PBlv,891,"Parabrachial nucleus, lateral division, ventral lateral part",0.846026,0.00690897,175155.0,1430.38,207033.0,5-HT1a
DMH,830,Dorsomedial nucleus of the hypothalamus,1.24265,0.0103264,1344200.0,11170.3,1081720.0,5-HT1a
AT,231,Anterior tegmental nucleus,1.69362,0.0127105,116204.0,872.101,68612.8,5-HT1a
VISp5,778,"Primary visual area, layer 5",1.75435,0.0141883,6625580.0,53584.4,3776650.0,5-HT1a
BSTov,554,"Bed nuclei of the stria terminalis, anterior division, oval nucleus",0.227438,0.00209777,22074.4,203.603,97056.7,5-HT1a
MDm,636,"Mediodorsal nucleus of the thalamus, medial part",0.251198,0.002205,223760.0,1964.15,890770.0,5-HT1a
BSTv,529,"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",1.10926,0.00945725,57979.3,494.317,52268.6,5-HT1a
DECmo,10725,"Declive (VI), molecular layer",0.174371,0.00127949,548368.0,4023.78,3144840.0,5-HT1a
VTN,757,Ventral tegmental nucleus,2.02686,0.0149043,212182.0,1560.26,104685.0,5-HT1a
V,621,Motor nucleus of trigeminal,0.629077,0.00543404,637326.0,5505.3,1013110.0,5-HT1a
MOBgr,220,"Main olfactory bulb, granule layer",0.723014,0.00571704,6029780.0,47678.9,8339790.0,5-HT1a
IC,4,Inferior colliculus,1.38049,0.0111931,16181400.0,131199.0,11721400.0,5-HT1a
MBsen,339,"Midbrain, sensory related",1.45308,0.0116372,25882800.0,207285.0,17812300.0,5-HT1a
FRP1,68,"Frontal pole, layer 1",0.780799,0.00651464,1015570.0,8473.48,1300680.0,5-HT1a
IB,1129,Interbrain,0.790301,0.00657161,58761600.0,488622.0,74353500.0,5-HT1a
AUDd2/3,600,"Dorsal auditory area, layer 2/3",2.63713,0.0232695,92217.8,813.71,34969.0,5-HT1a
SNc,374,"Substantia nigra, compact part",0.771053,0.00681143,764461.0,6753.19,991451.0,5-HT1a
AVP,263,Anteroventral preoptic nucleus,3.90456,0.0277061,598346.0,4245.77,153243.0,5-HT1a
AIp5,344,"Agranular insular area, posterior part, layer 5",1.52574,0.0138074,640245.0,5793.98,419628.0,5-HT1a
PL5,363,"Prelimbic area, layer 5",3.11696,0.0251128,2454560.0,19775.9,787486.0,5-HT1a
RSPagl,894,"Retrosplenial area, lateral agranular part",1.06104,0.00900189,1871650.0,15879.2,1763980.0,5-HT1a
CA2slm,431,"Field CA2, stratum lacunosum-moleculare",1.36815,0.00842533,430361.0,2650.24,314556.0,5-HT1a
SPVOcdm,77,"Spinal nucleus of the trigeminal, oral part, caudal dorsomedial part",2.12961,0.0150911,446822.0,3166.33,209814.0,5-HT1a
AUDd4,678,"Dorsal auditory area, layer 4",3.47559,0.030257,121538.0,1058.06,34969.0,5-HT1a
COApm,663,"Cortical amygdalar area, posterior part, medial zone",1.80381,0.0148407,4604650.0,37884.3,2552730.0,5-HT1a
PGRNd,970,"Paragigantocellular reticular nucleus, dorsal part",0.599674,0.00471475,311944.0,2452.56,520190.0,5-HT1a
SBPV,347,Subparaventricular zone,0.875089,0.00767181,305816.0,2681.06,349468.0,5-HT1a
GPi,1031,"Globus pallidus, internal segment",0.489354,0.00420833,462030.0,3973.35,944163.0,5-HT1a
PR,1077,Perireunensis nucleus,0.939677,0.00679597,31683.7,229.144,33717.6,5-HT1a
HB,1065,Hindbrain,0.819795,0.0064437,93114700.0,731895.0,113583000.0,5-HT1a
GU1,36,"Gustatory areas, layer 1",0.800502,0.00705088,447809.0,3944.33,559410.0,5-HT1a
PT,15,Parataenial nucleus,0.691862,0.00552956,285689.0,2283.31,412928.0,5-HT1a
P-mot,987,"Pons, motor related",1.17271,0.00893482,14446900.0,110071.0,12319300.0,5-HT1a
MRN,128,Midbrain reticular nucleus,0.903089,0.00764081,8548410.0,72325.9,9465740.0,5-HT1a
PAA2,416,"Piriform-amygdalar area, pyramidal layer",1.97106,0.0154498,1169970.0,9170.6,593573.0,5-HT1a
ACAd5,1015,"Anterior cingulate area, dorsal part, layer 5",2.42157,0.0194811,3330930.0,26796.8,1375530.0,5-HT1a
LZ,290,Hypothalamic lateral zone,1.16002,0.00989771,17620300.0,150344.0,15189700.0,5-HT1a
COPY,1033,Copula pyramidis,0.263783,0.00219666,1374810.0,11448.8,5211890.0,5-HT1a
MBmot,323,"Midbrain, motor related",1.23167,0.00977094,52014600.0,412635.0,42230900.0,5-HT1a
IAD,1113,Interanterodorsal nucleus of the thalamus,0.350702,0.00292445,40678.9,339.216,115993.0,5-HT1a
GU5,187,"Gustatory areas, layer 5",2.60797,0.0214608,3283140.0,27016.7,1258880.0,5-HT1a
IPN,100,Interpeduncular nucleus,5.14829,0.0332322,3951180.0,25504.9,767476.0,5-HT1a
AUDd6a,156,"Dorsal auditory area, layer 6a",1.79244,0.0157815,1629680.0,14348.5,909194.0,5-HT1a
PAR,843,Parasubiculum,4.50321,0.0292153,11338000.0,73557.2,2517770.0,5-HT1a
CENT2,976,Lobule II,0.654662,0.00482401,1942530.0,14313.9,2967220.0,5-HT1a
VENT,637,Ventral group of the dorsal thalamus,0.478082,0.00415053,3930480.0,34123.0,8221360.0,5-HT1a
MOp6a,844,"Primary motor area, Layer 6a",2.4295,0.0192917,10305700.0,81833.7,4241910.0,5-HT1a
VISpm2/3,41,"posteromedial visual area, layer 2/3",1.1305,0.00892712,1219030.0,9626.22,1078310.0,5-HT1a
CSm,130,"Superior central nucleus raphe, medial part",4.55858,0.0312747,2231730.0,15311.0,489566.0,5-HT1a
PFL,1041,Paraflocculus,0.63194,0.00450421,5922300.0,42211.7,9371620.0,5-HT1a
SUB,502,Subiculum,3.07109,0.023106,36022300.0,271021.0,11729500.0,5-HT1a
FS,998,Fundus of striatum,1.19102,0.00917578,874622.0,6738.22,734349.0,5-HT1a
STRv,493,Striatum ventral region,1.15811,0.0090904,20619800.0,161853.0,17804800.0,5-HT1a
FOTUgr,10726,"Folium-tuber vermis (VII), granular layer",0.20094,0.00145027,106327.0,767.41,529148.0,5-HT1a
AId1,996,"Agranular insular area, dorsal part, layer 1",1.46551,0.0122466,1998650.0,16701.9,1363790.0,5-HT1a
TH,549,Thalamus,0.477624,0.00394544,20390500.0,168437.0,42691600.0,5-HT1a
GENv,1014,"Geniculate group, ventral thalamus",0.765063,0.00611549,1096890.0,8767.95,1433730.0,5-HT1a
PAR1,10693,"Parasubiculum, layer 1",3.29173,0.0200065,1496410.0,9094.89,454597.0,5-HT1a
DP5,646,"Dorsal peduncular area, layer 5",3.22884,0.0249215,592260.0,4571.32,183428.0,5-HT1a
ORBvl5,1125,"Orbital area, ventrolateral part, layer 5",2.59051,0.0211661,1234150.0,10083.8,476413.0,5-HT1a
SIM,1007,Simple lobule,0.329835,0.0025465,3955670.0,30539.9,11992900.0,5-HT1a
VISal6a,601,"Anterolateral visual area, layer 6a",1.50682,0.0121235,1159230.0,9326.86,769318.0,5-HT1a
ENTl1,1121,"Entorhinal area, lateral part, layer 1",2.07915,0.0167972,1526820.0,12335.0,734349.0,5-HT1a
DP6a,267,"Dorsal peduncular area, layer 6a",2.15993,0.0176287,135109.0,1102.72,62552.6,5-HT1a
COAa2,200,"Cortical amygdalar area, anterior part, layer 2",2.5727,0.020492,1799290.0,14331.6,699378.0,5-HT1a
TEa,541,Temporal association areas,3.29132,0.0246682,5294330.0,39680.7,1608570.0,5-HT1a
ACVII,576,Accessory facial motor nucleus,0.760727,0.00672004,35257.5,311.454,46347.1,5-HT1a
VISpm6b,469,"posteromedial visual area, layer 6b",0.927938,0.00742796,32449.1,259.748,34969.0,5-HT1a
BSTdm,505,"Bed nuclei of the stria terminalis, anterior division, dorsomedial nucleus",0.869915,0.00733973,71572.5,603.879,82275.4,5-HT1a
DG-po,10704,"Dentate gyrus, polymorph layer",5.42385,0.0327572,8860490.0,53512.7,1633620.0,5-HT1a
MEApd-b,480,"Medial amygdalar nucleus, posterodorsal part, sublayer b",1.47491,0.0126716,206304.0,1772.46,139876.0,5-HT1a
ORBl,723,"Orbital area, lateral part",2.68039,0.0216588,9765710.0,78911.6,3643400.0,5-HT1a
BMAp,334,"Basomedial amygdalar nucleus, posterior part",2.47181,0.020437,4494710.0,37162.3,1818390.0,5-HT1a
PB,867,Parabrachial nucleus,0.937188,0.00769064,2052930.0,16846.5,2190520.0,5-HT1a
AVPV,272,Anteroventral periventricular nucleus,2.02876,0.0149562,283325.0,2088.7,139654.0,5-HT1a
BS,343,Brain stem,0.977032,0.00774568,255430000.0,2024990.0,261435000.0,5-HT1a
PRE2,10700,"Presubiculum, layer 2",2.71917,0.0174341,3328030.0,21337.9,1223920.0,5-HT1a
V3,129,third ventricle,0.844935,0.0070771,29546.5,247.479,34969.0,5-HT1a
