,time,coact,region1,region2,opto,region_pair,subject,date
0,-0.9,0.5135135135135135,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
1,-0.7,0.48717948717948717,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
2,-0.4999999999999999,0.5714285714285714,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
3,-0.2999999999999998,0.5,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
4,-0.09999999999999976,0.5263157894736842,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
5,0.10000000000000042,0.6585365853658537,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
6,0.3000000000000004,0.8888888888888888,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
7,0.5000000000000003,0.7608695652173914,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
8,0.7000000000000005,0.723404255319149,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
9,0.9000000000000007,0.8297872340425532,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
10,1.100000000000001,0.8085106382978723,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
11,1.3000000000000007,0.7659574468085106,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
12,1.5000000000000009,0.8085106382978723,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
13,1.700000000000001,0.8095238095238095,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
14,1.9000000000000008,0.7857142857142857,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
15,2.100000000000001,0.7073170731707317,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
16,2.300000000000001,0.717948717948718,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
17,2.5000000000000013,0.6842105263157895,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
18,2.7000000000000015,0.6470588235294118,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
19,2.9000000000000012,0.75,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
20,3.100000000000002,0.7714285714285715,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
21,3.300000000000001,0.65,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
22,3.5000000000000013,0.8108108108108109,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
23,3.7000000000000015,0.75,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
24,3.9000000000000017,0.6666666666666666,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
0,-0.9,0.325,Frontal cortex,Amygdala,0,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
1,-0.7,0.358974358974359,Frontal cortex,Amygdala,0,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
2,-0.4999999999999999,0.3076923076923077,Frontal cortex,Amygdala,0,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
3,-0.2999999999999998,0.375,Frontal cortex,Amygdala,0,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
