,time,r,region1,region2,region_pair,subject,date,probe
0,-0.95,0.005517072656752012,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
1,-0.85,0.0001455213176769915,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
2,-0.75,0.0010916508301907514,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
3,-0.65,0.0025977909471736733,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
4,-0.55,-0.001180836861228193,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
5,-0.45000000000000007,-0.007061702879151856,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
6,-0.3500000000000001,0.00502450349426629,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
7,-0.2500000000000001,-0.0034644928742313,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
8,-0.15000000000000013,-0.000514369230422973,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
9,-0.050000000000000155,-0.0019818890688289154,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
10,0.04999999999999982,-0.0010674004335196954,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
11,0.1499999999999997,-0.002207574904338513,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
12,0.24999999999999978,0.000743532032199364,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
13,0.34999999999999987,-0.0021044754219905503,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
14,0.44999999999999973,-0.00034488600386573323,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
15,0.5499999999999996,0.007078835361608609,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
16,0.6499999999999997,0.0007276242383468592,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
17,0.7499999999999998,0.0020737818073157666,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
18,0.8499999999999996,0.004029794805093336,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
19,0.9499999999999995,-0.0047213713043934916,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
20,1.0499999999999996,-0.005692724915593322,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
21,1.1499999999999997,0.0009024710756857374,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
22,1.2499999999999993,-0.004993361429988061,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
23,1.3499999999999994,0.001544565742842392,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
24,1.4499999999999995,0.005671438174383893,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
25,1.5499999999999996,0.00569465940515054,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
26,1.6499999999999997,0.00023507480537340633,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
27,1.7499999999999993,-0.0019375037348224138,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
28,1.8499999999999994,0.0009343911818820716,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
29,1.9499999999999995,0.0027599625396937714,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
30,2.049999999999999,-0.0021147590181018563,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
31,2.1499999999999995,0.00274765529170079,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
32,2.249999999999999,-0.0013208253269713147,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
33,2.3499999999999996,-0.0021336658332402523,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
34,2.4499999999999993,-0.0010198962091859803,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
35,2.549999999999999,0.0016073378803351985,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
36,2.6499999999999995,-0.0010095525899683558,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
37,2.749999999999999,-8.446049549171626e-05,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
38,2.8499999999999988,-0.0008931423905955416,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
39,2.9499999999999993,0.001699602391531672,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
40,3.049999999999999,0.004560225393011208,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
41,3.1499999999999986,0.0017493098663527186,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
42,3.249999999999999,0.0009488370433834553,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
43,3.3499999999999988,0.0027026717692886573,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
44,3.4499999999999984,-0.0007952575410210087,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
45,3.549999999999999,0.0019538736976847473,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
46,3.6499999999999986,0.007731207342655306,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
47,3.749999999999999,0.0002453249932624242,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
48,3.8499999999999988,-0.0023267527521105163,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
49,3.9499999999999984,-0.0017908885888533895,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
0,-0.95,-0.00040381354356168464,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
1,-0.85,-0.00611755386200335,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
2,-0.75,-9.058949461139832e-05,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
3,-0.65,0.002934539689999227,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
4,-0.55,-0.00728196382734606,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
5,-0.45000000000000007,0.00329931817620695,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
6,-0.3500000000000001,-0.003681704927138346,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
