,time,r,dist,perc,region1,region2,opto,region_pair,subject,date,probe
0,-0.9,0.26948051948051943,4.242640687119285,0.64,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
1,-0.7,0.19682418905208632,4.47213595499958,0.6,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
2,-0.4999999999999999,0.3945060521718806,3.872983346207417,0.7,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
3,-0.2999999999999998,0.3330665850303583,4.123105625617661,0.66,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
4,-0.09999999999999976,0.26951575452692533,4.242640687119285,0.64,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
5,0.10000000000000042,0.3593134953348085,3.7416573867739413,0.72,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
6,0.3000000000000004,0.6100266993827538,2.23606797749979,0.9,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
7,0.5000000000000003,0.3423618220707695,3.3166247903554,0.78,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
8,0.7000000000000005,0.2895702534395042,3.605551275463989,0.74,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
9,0.9000000000000007,0.4054653794259672,2.8284271247461903,0.84,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
10,1.100000000000001,0.30757857924351695,3.0,0.82,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
11,1.3000000000000007,0.2496023538122342,3.3166247903554,0.78,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
12,1.5000000000000009,0.29557994712360236,3.0,0.82,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
13,1.700000000000001,0.5657596092586945,2.8284271247461903,0.84,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
14,1.9000000000000008,0.5209965732441684,3.0,0.82,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
15,2.100000000000001,0.4316122090174496,3.4641016151377544,0.76,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
16,2.300000000000001,0.5212492275960876,3.3166247903554,0.78,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
17,2.5000000000000013,0.47916666666666663,3.4641016151377544,0.76,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
18,2.7000000000000015,0.512987012987013,3.4641016151377544,0.76,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
19,2.9000000000000012,0.6780810516210625,2.8284271247461903,0.84,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
20,3.100000000000002,0.6634034720037775,2.8284271247461903,0.84,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
21,3.300000000000001,0.3866349955387439,3.7416573867739413,0.72,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
22,3.5000000000000013,0.6842438763262908,2.6457513110645907,0.86,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
23,3.7000000000000015,0.5238095238095238,3.1622776601683795,0.8,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
24,3.9000000000000017,0.21821789023599242,3.872983346207417,0.7,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-04820,2022-09-13,probe00
