,time,r_mean,r_max,opto,region1,region2,region_pair,subject,date,probe
0,-0.85,-0.006410415848611894,0.5238317951770597,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
1,-0.75,-0.009418208417893535,0.544638999398568,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
2,-0.65,-0.011492218102819012,0.5493452627350437,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
3,-0.55,-0.008782568073479331,0.5414864793024307,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
4,-0.45000000000000007,-0.006820039061030872,0.5486816661028745,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
5,-0.3500000000000001,-0.007499704097244274,0.5597176502288883,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
6,-0.2500000000000001,-0.00904828806778378,0.5651801529477652,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
7,-0.15000000000000013,-0.00726285163592903,0.5680379102157354,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
8,-0.050000000000000155,-0.005538768446454433,0.5699085574253947,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
9,0.04999999999999982,-0.0032714081575400678,0.5723478515697065,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
10,0.1499999999999998,-0.004727288626660666,0.5364035589947356,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
11,0.24999999999999967,-0.005030086270667179,0.5108251601237822,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
12,0.34999999999999976,-0.005020274414753404,0.52140910915328,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
13,0.44999999999999984,-0.0039777005591722855,0.5252024351411054,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
14,0.5499999999999997,-0.003363309956433152,0.5278330317820931,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
15,0.6499999999999996,-0.0061060863250986955,0.5298094332719535,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
16,0.7499999999999997,-0.007311669552572559,0.5074302267110585,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
17,0.8499999999999998,-0.008399017869145795,0.509833876111191,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
18,0.9499999999999996,-0.007185543949435659,0.5097082129719658,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
19,1.0499999999999994,-0.0034820239920677035,0.4958166925922376,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
20,1.1499999999999995,-0.0027503387675102816,0.5006193411832904,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
21,1.2499999999999996,-0.003984841579192445,0.5085724515321468,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
22,1.3499999999999992,-0.005689930007314383,0.5163007341840071,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
23,1.4499999999999993,-0.0062040916668846275,0.520256879237301,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
24,1.5499999999999994,-0.0053354147727525895,0.5194781766369124,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
25,1.6499999999999995,-0.005952996553633866,0.5220497285740877,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
26,1.7499999999999996,-0.005290232003516239,0.5161255572786949,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
27,1.8499999999999992,-0.003871589573047621,0.5133526261028948,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
28,1.9499999999999993,-0.003790005240408071,0.5060994046337449,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
29,2.0499999999999994,-0.004323510189313425,0.513034182797107,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
30,2.149999999999999,-0.0047640872639233105,0.5151274250600172,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
31,2.249999999999999,-0.005544562926530548,0.5065117529540322,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
32,2.349999999999999,-0.005326534725374669,0.5030645508618214,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
33,2.4499999999999993,-0.0057453749365514,0.5068525732581438,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
34,2.5499999999999994,-0.005070479620493346,0.509803590356883,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
35,2.649999999999999,-0.004153382705739492,0.5248145133835612,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
36,2.749999999999999,-0.003508128139548595,0.5277604132210286,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
37,2.849999999999999,-0.002590035831005277,0.5383181789810398,1,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02600,2021-08-25,probe00
