,time,r_mean,r_max,r_min,r_abs,region1,region2,opto,region_pair,subject,date
0,-0.85,-0.0013771819395782224,0.4586839172580931,-0.37420987501398917,0.22197057696458905,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-02181,2021-07-14
1,-0.75,0.0041471555140968445,0.42071451251516984,-0.3325456997409253,0.2042786345167173,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-02181,2021-07-14
2,-0.65,0.007119513560951407,0.41587421774980876,-0.29862065931911425,0.19086507088782223,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-02181,2021-07-14
3,-0.55,0.0019485745930469846,0.4172841741602908,-0.2935966182005528,0.1906298785977777,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-02181,2021-07-14
4,-0.45000000000000007,0.0006691010558775066,0.4357049647630812,-0.29747447186846426,0.1898052616171731,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-02181,2021-07-14
5,-0.3500000000000001,0.002477426976993885,0.41640137248405373,-0.31996319136843004,0.19278220302520413,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-02181,2021-07-14
6,-0.2500000000000001,0.0020973139124531815,0.39072817290217887,-0.2712839695205814,0.1855698514303935,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-02181,2021-07-14
7,-0.15000000000000013,0.002303664393521646,0.42808469304375957,-0.2610772582883025,0.18687763111883662,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-02181,2021-07-14
8,-0.050000000000000155,-0.00039805806532896914,0.4391330366528451,-0.25940951548376273,0.19097766286379528,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-02181,2021-07-14
9,0.04999999999999982,0.00017146363152707026,0.41712631838535386,-0.26692798516582644,0.17935087711230308,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-02181,2021-07-14
10,0.1499999999999998,0.0011272907894920978,0.40563038927682854,-0.27980876482777267,0.17860373907708946,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-02181,2021-07-14
11,0.24999999999999967,0.0001094119944262327,0.4198217491997066,-0.2756697708352537,0.1852464429711506,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-02181,2021-07-14
12,0.34999999999999976,-0.0015771261951414684,0.40293280459021624,-0.27043894028145454,0.17861089117424755,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-02181,2021-07-14
13,0.44999999999999984,-0.00153264315648142,0.41725140610645245,-0.27095053478889103,0.1770173563689108,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-02181,2021-07-14
14,0.5499999999999997,0.0011468136686272814,0.4602423267756805,-0.2835598370547007,0.20211927740785443,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-02181,2021-07-14
15,0.6499999999999996,0.0015732640011074848,0.536075256983441,-0.3075511331611365,0.2138311703504343,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-02181,2021-07-14
16,0.7499999999999997,0.0020919693483906956,0.4766239496384817,-0.27556388261780346,0.19923811021064894,Frontal cortex,Amygdala,1,Amygdala-Frontal cortex,ZFM-02181,2021-07-14
