state,r,p,subject,date,region,file_name
0,-0.022726890016128945,0.41401306481193856,ZFM-02600,2021-08-25,Amyg.,ZFM-02600_2021-08-25_Amyg..pickle
1,0.06550408307906945,0.01844405744129413,ZFM-02600,2021-08-25,Amyg.,ZFM-02600_2021-08-25_Amyg..pickle
2,-0.06348365945362926,0.0223865523875325,ZFM-02600,2021-08-25,Amyg.,ZFM-02600_2021-08-25_Amyg..pickle
3,-0.00013485659876443336,0.9961331458916808,ZFM-02600,2021-08-25,Amyg.,ZFM-02600_2021-08-25_Amyg..pickle
4,-0.03528663588337386,0.20461707921499805,ZFM-02600,2021-08-25,Amyg.,ZFM-02600_2021-08-25_Amyg..pickle
5,0.022673854948872932,0.41510366467552884,ZFM-02600,2021-08-25,Amyg.,ZFM-02600_2021-08-25_Amyg..pickle
6,-0.08408886460082735,0.002467473009593036,ZFM-02600,2021-08-25,Amyg.,ZFM-02600_2021-08-25_Amyg..pickle
0,-0.1120221547271498,4.17654947623282e-05,ZFM-02600,2021-08-25,mPFC,ZFM-02600_2021-08-25_mPFC.pickle
1,0.3582686877615492,1.2850457404741115e-41,ZFM-02600,2021-08-25,mPFC,ZFM-02600_2021-08-25_mPFC.pickle
2,0.2197828760998917,4.930751583841078e-16,ZFM-02600,2021-08-25,mPFC,ZFM-02600_2021-08-25_mPFC.pickle
3,-0.44114211071417675,1.5469082225358403e-64,ZFM-02600,2021-08-25,mPFC,ZFM-02600_2021-08-25_mPFC.pickle
4,0.10562913093218085,0.00011232841254815654,ZFM-02600,2021-08-25,mPFC,ZFM-02600_2021-08-25_mPFC.pickle
5,0.11841071887231962,1.4723854047712616e-05,ZFM-02600,2021-08-25,mPFC,ZFM-02600_2021-08-25_mPFC.pickle
6,0.32247355072725126,1.309132503778696e-33,ZFM-02600,2021-08-25,mPFC,ZFM-02600_2021-08-25_mPFC.pickle
0,-0.015122441174674381,0.5813384757065851,ZFM-02600,2021-08-25,OFC,ZFM-02600_2021-08-25_OFC.pickle
1,-0.395518194777402,4.073662872262078e-51,ZFM-02600,2021-08-25,OFC,ZFM-02600_2021-08-25_OFC.pickle
2,-0.3035910952479198,8.477744885296555e-30,ZFM-02600,2021-08-25,OFC,ZFM-02600_2021-08-25_OFC.pickle
3,0.3977534023265747,9.996964329572456e-52,ZFM-02600,2021-08-25,OFC,ZFM-02600_2021-08-25_OFC.pickle
4,-0.07114087882232081,0.009397293108275187,ZFM-02600,2021-08-25,OFC,ZFM-02600_2021-08-25_OFC.pickle
5,0.344117608314388,2.517024137403019e-38,ZFM-02600,2021-08-25,OFC,ZFM-02600_2021-08-25_OFC.pickle
6,-0.26543145355561343,6.485806010160507e-23,ZFM-02600,2021-08-25,OFC,ZFM-02600_2021-08-25_OFC.pickle
0,0.3788771906487413,1.0163627861633176e-46,ZFM-02600,2021-08-25,OLF,ZFM-02600_2021-08-25_OLF.pickle
1,-0.2703643290535209,9.589245783410997e-24,ZFM-02600,2021-08-25,OLF,ZFM-02600_2021-08-25_OLF.pickle
2,-0.0804879952042856,0.003286908897555269,ZFM-02600,2021-08-25,OLF,ZFM-02600_2021-08-25_OLF.pickle
3,-0.2748358519425611,1.6375733814538897e-24,ZFM-02600,2021-08-25,OLF,ZFM-02600_2021-08-25_OLF.pickle
4,-0.216658157727469,1.2956993376433227e-15,ZFM-02600,2021-08-25,OLF,ZFM-02600_2021-08-25_OLF.pickle
5,0.18760055139036375,5.1378997975268e-12,ZFM-02600,2021-08-25,OLF,ZFM-02600_2021-08-25_OLF.pickle
6,0.30192084227962046,1.7873082044931798e-29,ZFM-02600,2021-08-25,OLF,ZFM-02600_2021-08-25_OLF.pickle
0,-0.42867427933629143,1.7087671241963215e-63,ZFM-02600,2021-08-26,M2,ZFM-02600_2021-08-26_M2.pickle
1,0.11800919612889069,9.838509962689198e-06,ZFM-02600,2021-08-26,M2,ZFM-02600_2021-08-26_M2.pickle
2,0.020693310576274063,0.43978518208171624,ZFM-02600,2021-08-26,M2,ZFM-02600_2021-08-26_M2.pickle
3,-0.44339296727998506,2.631309838285146e-68,ZFM-02600,2021-08-26,M2,ZFM-02600_2021-08-26_M2.pickle
4,0.12679631550540188,2.009658034558271e-06,ZFM-02600,2021-08-26,M2,ZFM-02600_2021-08-26_M2.pickle
5,-0.3562286621519911,4.987493051758934e-43,ZFM-02600,2021-08-26,M2,ZFM-02600_2021-08-26_M2.pickle
6,0.463079403807255,3.999276837364128e-75,ZFM-02600,2021-08-26,M2,ZFM-02600_2021-08-26_M2.pickle
0,-0.38943365776319694,8.939940401625662e-52,ZFM-02600,2021-08-26,OFC,ZFM-02600_2021-08-26_OFC.pickle
1,0.31316431112936427,3.8545574982547294e-33,ZFM-02600,2021-08-26,OFC,ZFM-02600_2021-08-26_OFC.pickle
2,0.3485224878586859,3.8400870155132707e-41,ZFM-02600,2021-08-26,OFC,ZFM-02600_2021-08-26_OFC.pickle
3,0.4193657036662968,1.4308541267625655e-60,ZFM-02600,2021-08-26,OFC,ZFM-02600_2021-08-26_OFC.pickle
4,-0.25641212846790307,2.138837011396515e-22,ZFM-02600,2021-08-26,OFC,ZFM-02600_2021-08-26_OFC.pickle
5,-0.03900095722982093,0.14526969789478328,ZFM-02600,2021-08-26,OFC,ZFM-02600_2021-08-26_OFC.pickle
6,-0.26876798166368077,1.5860621254694131e-24,ZFM-02600,2021-08-26,OFC,ZFM-02600_2021-08-26_OFC.pickle
0,0.268436845185196,4.4942730633520477e-23,ZFM-02600,2021-08-26,PAG,ZFM-02600_2021-08-26_PAG.pickle
1,-0.09321509799229298,0.000726844698169093,ZFM-02600,2021-08-26,PAG,ZFM-02600_2021-08-26_PAG.pickle
2,0.30862715864077445,2.5037886987541814e-30,ZFM-02600,2021-08-26,PAG,ZFM-02600_2021-08-26_PAG.pickle
3,0.4487336535069546,6.000518366934073e-66,ZFM-02600,2021-08-26,PAG,ZFM-02600_2021-08-26_PAG.pickle
4,-0.2177646583380771,1.5472337354360295e-15,ZFM-02600,2021-08-26,PAG,ZFM-02600_2021-08-26_PAG.pickle
5,-0.25426675963945683,8.620456273341423e-21,ZFM-02600,2021-08-26,PAG,ZFM-02600_2021-08-26_PAG.pickle
6,-0.08386358736535933,0.0023738955278050726,ZFM-02600,2021-08-26,PAG,ZFM-02600_2021-08-26_PAG.pickle
0,-0.04706025520032977,0.07879600699712559,ZFM-02600,2021-08-26,Pir.,ZFM-02600_2021-08-26_Pir..pickle
1,0.17569056329490948,3.8447970756532084e-11,ZFM-02600,2021-08-26,Pir.,ZFM-02600_2021-08-26_Pir..pickle
2,-0.09122231996657043,0.0006439098721832111,ZFM-02600,2021-08-26,Pir.,ZFM-02600_2021-08-26_Pir..pickle
3,0.03335217413177621,0.21299568345939837,ZFM-02600,2021-08-26,Pir.,ZFM-02600_2021-08-26_Pir..pickle
4,0.15952140882441618,2.05637952236894e-09,ZFM-02600,2021-08-26,Pir.,ZFM-02600_2021-08-26_Pir..pickle
5,-0.13550384647166383,3.7395214715564663e-07,ZFM-02600,2021-08-26,Pir.,ZFM-02600_2021-08-26_Pir..pickle
6,-0.03848012025014029,0.15072360749059927,ZFM-02600,2021-08-26,Pir.,ZFM-02600_2021-08-26_Pir..pickle
0,0.10308129063027367,0.00018494264246047835,ZFM-02600,2021-08-26,SC,ZFM-02600_2021-08-26_SC.pickle
1,-0.2012090606137279,1.9278429084737647e-13,ZFM-02600,2021-08-26,SC,ZFM-02600_2021-08-26_SC.pickle
2,-0.2093296829614023,1.901659308998889e-14,ZFM-02600,2021-08-26,SC,ZFM-02600_2021-08-26_SC.pickle
3,0.3086829088543316,2.441788253669666e-30,ZFM-02600,2021-08-26,SC,ZFM-02600_2021-08-26_SC.pickle
4,-0.22399000890246482,2.2691989305138648e-16,ZFM-02600,2021-08-26,SC,ZFM-02600_2021-08-26_SC.pickle
5,-0.05590135434952409,0.04299967087218402,ZFM-02600,2021-08-26,SC,ZFM-02600_2021-08-26_SC.pickle
6,-0.10472621593912215,0.0001454383565059794,ZFM-02600,2021-08-26,SC,ZFM-02600_2021-08-26_SC.pickle
0,0.0,0.0,ZFM-02600,2021-08-27,Thal.,ZFM-02600_2021-08-27_Thal..pickle
1,0.0,0.0,ZFM-02600,2021-08-27,Thal.,ZFM-02600_2021-08-27_Thal..pickle
2,0.0,5e-324,ZFM-02600,2021-08-27,Thal.,ZFM-02600_2021-08-27_Thal..pickle
3,0.0,0.0,ZFM-02600,2021-08-27,Thal.,ZFM-02600_2021-08-27_Thal..pickle
4,0.0,5e-324,ZFM-02600,2021-08-27,Thal.,ZFM-02600_2021-08-27_Thal..pickle
5,0.0,1e-323,ZFM-02600,2021-08-27,Thal.,ZFM-02600_2021-08-27_Thal..pickle
6,0.0,1.5e-323,ZFM-02600,2021-08-27,Thal.,ZFM-02600_2021-08-27_Thal..pickle
0,0.0,0.0,ZFM-02600,2021-08-27,VIS,ZFM-02600_2021-08-27_VIS.pickle
1,0.0,0.0,ZFM-02600,2021-08-27,VIS,ZFM-02600_2021-08-27_VIS.pickle
2,0.0,5e-324,ZFM-02600,2021-08-27,VIS,ZFM-02600_2021-08-27_VIS.pickle
3,0.0,0.0,ZFM-02600,2021-08-27,VIS,ZFM-02600_2021-08-27_VIS.pickle
