state,r,p,subject,date,region,file_name
0,0.1496354414205785,0.0003806727548226569,ZFM-02600,2021-08-25,Amyg.,ZFM-02600_2021-08-25_Amyg..pickle
1,-0.18816797845012348,7.359264781596053e-06,ZFM-02600,2021-08-25,Amyg.,ZFM-02600_2021-08-25_Amyg..pickle
2,0.22471721704705588,7.667237056178055e-08,ZFM-02600,2021-08-25,Amyg.,ZFM-02600_2021-08-25_Amyg..pickle
3,-0.1415717768261739,0.0007804130101282294,ZFM-02600,2021-08-25,Amyg.,ZFM-02600_2021-08-25_Amyg..pickle
4,-0.034681096972498916,0.4127195724512772,ZFM-02600,2021-08-25,Amyg.,ZFM-02600_2021-08-25_Amyg..pickle
5,-0.19604321412450584,2.9496409449101364e-06,ZFM-02600,2021-08-25,Amyg.,ZFM-02600_2021-08-25_Amyg..pickle
6,-0.024116704580481593,0.5690080353819565,ZFM-02600,2021-08-25,Amyg.,ZFM-02600_2021-08-25_Amyg..pickle
0,-0.3702479977142158,1.2315726754183605e-19,ZFM-02600,2021-08-25,mPFC,ZFM-02600_2021-08-25_mPFC.pickle
1,-0.09472424847010097,0.024986041211821446,ZFM-02600,2021-08-25,mPFC,ZFM-02600_2021-08-25_mPFC.pickle
2,-0.2633330032827261,2.4559507384509094e-10,ZFM-02600,2021-08-25,mPFC,ZFM-02600_2021-08-25_mPFC.pickle
3,0.23484507808468272,1.8672547256807283e-08,ZFM-02600,2021-08-25,mPFC,ZFM-02600_2021-08-25_mPFC.pickle
4,-0.32755318208656414,1.7987496735929703e-15,ZFM-02600,2021-08-25,mPFC,ZFM-02600_2021-08-25_mPFC.pickle
5,-0.11878110224611735,0.004884353108379669,ZFM-02600,2021-08-25,mPFC,ZFM-02600_2021-08-25_mPFC.pickle
6,0.628457095529411,7.031845802374864e-63,ZFM-02600,2021-08-25,mPFC,ZFM-02600_2021-08-25_mPFC.pickle
0,0.06487405795219772,0.12518085154291314,ZFM-02600,2021-08-25,OFC,ZFM-02600_2021-08-25_OFC.pickle
1,-0.38676060758706887,2.013183572601171e-21,ZFM-02600,2021-08-25,OFC,ZFM-02600_2021-08-25_OFC.pickle
2,0.4837386114825978,3.4726426322865786e-34,ZFM-02600,2021-08-25,OFC,ZFM-02600_2021-08-25_OFC.pickle
3,-0.05827982314299816,0.16843759482998008,ZFM-02600,2021-08-25,OFC,ZFM-02600_2021-08-25_OFC.pickle
4,-0.028605834369538972,0.49931796580865206,ZFM-02600,2021-08-25,OFC,ZFM-02600_2021-08-25_OFC.pickle
5,-0.16100075688650836,0.0001300042353894092,ZFM-02600,2021-08-25,OFC,ZFM-02600_2021-08-25_OFC.pickle
6,0.09580972178636363,0.02336433748701562,ZFM-02600,2021-08-25,OFC,ZFM-02600_2021-08-25_OFC.pickle
0,-0.1934562533679277,3.999385201308004e-06,ZFM-02600,2021-08-25,OLF,ZFM-02600_2021-08-25_OLF.pickle
1,0.35547788305437716,4.013769452307363e-18,ZFM-02600,2021-08-25,OLF,ZFM-02600_2021-08-25_OLF.pickle
2,-0.28227977857669595,1.0183706039757636e-11,ZFM-02600,2021-08-25,OLF,ZFM-02600_2021-08-25_OLF.pickle
3,-0.1301991775160794,0.0020195531548330087,ZFM-02600,2021-08-25,OLF,ZFM-02600_2021-08-25_OLF.pickle
4,0.3660831845194258,3.350435811129445e-19,ZFM-02600,2021-08-25,OLF,ZFM-02600_2021-08-25_OLF.pickle
5,0.12268570969408377,0.0036400608487016472,ZFM-02600,2021-08-25,OLF,ZFM-02600_2021-08-25_OLF.pickle
6,-0.1560816968418757,0.00020885027530771142,ZFM-02600,2021-08-25,OLF,ZFM-02600_2021-08-25_OLF.pickle
0,0.01311128787925121,0.757084244445488,ZFM-02600,2021-08-26,M2,ZFM-02600_2021-08-26_M2.pickle
1,-0.09732434596057853,0.021370616142369875,ZFM-02600,2021-08-26,M2,ZFM-02600_2021-08-26_M2.pickle
2,0.1960217145081479,3.018171626300877e-06,ZFM-02600,2021-08-26,M2,ZFM-02600_2021-08-26_M2.pickle
3,0.1322534447098146,0.0017263600157572413,ZFM-02600,2021-08-26,M2,ZFM-02600_2021-08-26_M2.pickle
4,-0.28220624981408304,1.0761545876000132e-11,ZFM-02600,2021-08-26,M2,ZFM-02600_2021-08-26_M2.pickle
5,-0.31329051233305105,3.3945418277259694e-14,ZFM-02600,2021-08-26,M2,ZFM-02600_2021-08-26_M2.pickle
6,0.2275704837887115,5.328559193505916e-08,ZFM-02600,2021-08-26,M2,ZFM-02600_2021-08-26_M2.pickle
0,0.023614357563663646,0.5774273671483571,ZFM-02600,2021-08-26,OFC,ZFM-02600_2021-08-26_OFC.pickle
1,-0.14084938100573538,0.0008397942426385487,ZFM-02600,2021-08-26,OFC,ZFM-02600_2021-08-26_OFC.pickle
2,0.33022939216987074,1.0910039783050125e-15,ZFM-02600,2021-08-26,OFC,ZFM-02600_2021-08-26_OFC.pickle
3,-0.2535270059935234,1.1989410298738078e-09,ZFM-02600,2021-08-26,OFC,ZFM-02600_2021-08-26_OFC.pickle
4,0.18703804534951698,8.522515672364755e-06,ZFM-02600,2021-08-26,OFC,ZFM-02600_2021-08-26_OFC.pickle
5,-0.18135707002380172,1.6026553860883618e-05,ZFM-02600,2021-08-26,OFC,ZFM-02600_2021-08-26_OFC.pickle
6,0.2650255900863184,1.9375911525443463e-10,ZFM-02600,2021-08-26,OFC,ZFM-02600_2021-08-26_OFC.pickle
0,0.18058718441519575,1.743290712916238e-05,ZFM-02600,2021-08-26,PAG,ZFM-02600_2021-08-26_PAG.pickle
1,0.05782991458235745,0.17213823915866736,ZFM-02600,2021-08-26,PAG,ZFM-02600_2021-08-26_PAG.pickle
2,-0.10564997938528042,0.01244359950276657,ZFM-02600,2021-08-26,PAG,ZFM-02600_2021-08-26_PAG.pickle
3,0.0016087294592105254,0.9697272557506084,ZFM-02600,2021-08-26,PAG,ZFM-02600_2021-08-26_PAG.pickle
4,0.3118273045160818,4.522250180921185e-14,ZFM-02600,2021-08-26,PAG,ZFM-02600_2021-08-26_PAG.pickle
5,-0.09140597786810746,0.030709581461973796,ZFM-02600,2021-08-26,PAG,ZFM-02600_2021-08-26_PAG.pickle
6,-0.15271084778688648,0.00029034661672784374,ZFM-02600,2021-08-26,PAG,ZFM-02600_2021-08-26_PAG.pickle
0,-0.10464232051477514,0.01331100349504862,ZFM-02600,2021-08-26,Pir.,ZFM-02600_2021-08-26_Pir..pickle
1,-0.036374966110818384,0.39068328085067844,ZFM-02600,2021-08-26,Pir.,ZFM-02600_2021-08-26_Pir..pickle
2,0.0622524117623055,0.1415681482817161,ZFM-02600,2021-08-26,Pir.,ZFM-02600_2021-08-26_Pir..pickle
3,0.09346682487759594,0.027122822528616287,ZFM-02600,2021-08-26,Pir.,ZFM-02600_2021-08-26_Pir..pickle
4,0.04880136479379908,0.24935264867204587,ZFM-02600,2021-08-26,Pir.,ZFM-02600_2021-08-26_Pir..pickle
5,0.03331169137771997,0.4318384721641279,ZFM-02600,2021-08-26,Pir.,ZFM-02600_2021-08-26_Pir..pickle
6,-0.08499782347950127,0.04456292647986832,ZFM-02600,2021-08-26,Pir.,ZFM-02600_2021-08-26_Pir..pickle
0,0.2703248352335791,8.117689535126474e-11,ZFM-02600,2021-08-26,SC,ZFM-02600_2021-08-26_SC.pickle
1,-0.03320888085760445,0.4332618337367993,ZFM-02600,2021-08-26,SC,ZFM-02600_2021-08-26_SC.pickle
2,-0.02193151818480155,0.6048543552938314,ZFM-02600,2021-08-26,SC,ZFM-02600_2021-08-26_SC.pickle
3,-0.20647779415429796,8.478345192669268e-07,ZFM-02600,2021-08-26,SC,ZFM-02600_2021-08-26_SC.pickle
4,-0.04178141667892959,0.32410122685268505,ZFM-02600,2021-08-26,SC,ZFM-02600_2021-08-26_SC.pickle
5,0.09281116377264471,0.028222690841975942,ZFM-02600,2021-08-26,SC,ZFM-02600_2021-08-26_SC.pickle
6,-0.10478732983837122,0.013182982297699238,ZFM-02600,2021-08-26,SC,ZFM-02600_2021-08-26_SC.pickle
0,0.0,0.0,ZFM-02600,2021-08-27,Thal.,ZFM-02600_2021-08-27_Thal..pickle
1,0.0,0.0,ZFM-02600,2021-08-27,Thal.,ZFM-02600_2021-08-27_Thal..pickle
2,0.0,5e-324,ZFM-02600,2021-08-27,Thal.,ZFM-02600_2021-08-27_Thal..pickle
3,0.0,0.0,ZFM-02600,2021-08-27,Thal.,ZFM-02600_2021-08-27_Thal..pickle
4,0.0,5e-324,ZFM-02600,2021-08-27,Thal.,ZFM-02600_2021-08-27_Thal..pickle
5,0.0,1e-323,ZFM-02600,2021-08-27,Thal.,ZFM-02600_2021-08-27_Thal..pickle
