,subject,date,eid,pid,sert-cre,region,to_down_peths,to_up_peths,time
0,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.18574211319184744,0.2304251412560198,-0.9
1,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.22775505689377026,0.10055411185950681,-0.7000000000000001
2,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.28301325447437053,0.042208145075512994,-0.5
3,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.2882770967549391,0.041720800265082174,-0.30000000000000004
4,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.3418598004184365,0.02963691392268082,-0.1
5,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.42897323350111644,0.02959661860900429,0.1
6,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.4758708513177457,0.04033771244798997,0.30000000000000004
7,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.5052208419371019,0.024237373110819006,0.5
8,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.545237385880168,0.006299746827151945,0.7000000000000001
9,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.47967741342812387,0.011752819735425564,0.9
10,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.35026232069158375,0.056143743910600084,1.1
11,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.21300103176036853,0.1350379296247868,1.3000000000000003
12,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.1256640256023036,0.2601890417212181,1.5
13,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.11661118386984212,0.48282190985640766,1.7000000000000002
14,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.08922887379049575,0.6518934843968265,1.9
15,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.035022628738696,0.6567004632958436,2.1
16,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.006285766686491226,0.5905876562079835,2.3000000000000003
17,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.0004701013849456347,0.4666387734805387,2.5
18,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,2.7213888197034613e-05,0.33423286843260513,2.7
19,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.0004571655889009797,0.21880023228176534,2.9000000000000004
20,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.005882878371954445,0.17276932358647337,3.1
21,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.030966171701008318,0.12059852484922329,3.3000000000000003
22,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.08164535963443546,0.07051476294565327,3.5
23,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.1538070709114399,0.07668989569401369,3.7
24,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Cortex,0.23406517828197823,0.09507130210093516,3.9000000000000004
0,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.0790314406709063,0.2900459182329827,-0.9
1,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.12821177646955864,0.19725823956420022,-0.7000000000000001
2,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.19559387018611926,0.09742637634009613,-0.5
3,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.17533241123756704,0.05692260095834495,-0.30000000000000004
4,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.17558232963124923,0.056601916208057,-0.1
5,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.32867218804298687,0.07304852940633848,0.1
6,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.5887727142952546,0.08520108761853205,0.30000000000000004
7,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.7943216675161459,0.048837628051931814,0.5
8,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.8096190195005238,0.010825111614666545,0.7000000000000001
9,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.6007628067168767,0.0013438338338456657,0.9
10,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.376731967565705,0.005937010010482432,1.1
11,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.22965161950972512,0.031907561401527736,1.3000000000000003
12,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.11534991083688168,0.09432365375761548,1.5
13,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.05748977625439337,0.22736954885563557,1.7000000000000002
14,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.025580909587971167,0.45469415359653226,1.9
15,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.00588302887306579,0.6764103600555954,2.1
16,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.005856261606486676,0.7338965386326909,2.3000000000000003
17,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.02466717370373831,0.5666408251449576,2.5
18,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.04575004098787863,0.3682890002717265,2.7
19,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.05423642853924021,0.28698856846865833,2.9000000000000004
20,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.07488994123352567,0.26195774427568463,3.1
21,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.08877215239742287,0.20268559381824938,3.3000000000000003
22,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.07087348581022988,0.15117650441991645,3.5
23,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.04756694274238815,0.10179995446140357,3.7
24,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,04954136-75a8-4a20-9054-37b0bffd3b8b,1,Striatum,0.09469800135989685,0.07140098030125105,3.9000000000000004
